"","time","FLOW","SALT","TEMP"
"218",1990-05-06,1.472476022,10,16.01820936
"219",1990-05-07,1.359208636,10,16.27245853
"220",1990-05-08,1.359208636,10,16.50433574
"221",1990-05-09,1.812278182,10,16.40319723
"222",1990-05-10,5.32356716,10,16.50860726
"223",1990-05-11,3.171486818,10,16.77440981
"224",1990-05-12,2.265347728,10,16.99029071
"225",1990-05-13,1.925545568,10,17.19013282
"226",1990-05-14,1.699010796,10,17.40869198
"227",1990-05-15,1.58574341,10,17.60298169
"228",1990-05-16,2.944952046,10,17.72380799
"229",1990-05-17,2.15208034,10,17.9565348
"230",1990-05-18,1.812278182,10,18.15492652
"231",1990-05-19,2.944952046,10,18.25026521
"232",1990-05-20,4.07762591,10,18.45609435
"233",1990-05-21,2.4918825,10,18.67462001
"234",1990-05-22,2.038812954,10,18.88645611
"235",1990-05-23,1.812278182,10,19.08226865
"236",1990-05-24,1.699010796,10,19.29969853
"237",1990-05-25,1.699010796,10,19.51098504
"238",1990-05-26,1.699010796,10,19.72236381
"239",1990-05-27,1.58574341,10,19.93710973
"240",1990-05-28,1.58574341,10,20.15425766
"241",1990-05-29,1.472476022,10,20.37036661
"242",1990-05-30,1.472476022,10,20.58427055
"243",1990-05-31,1.359208636,10,20.79774301
"244",1990-06-01,1.359208636,10,20.96066284
"245",1990-06-02,1.58574341,10,21.16091577
"246",1990-06-03,1.699010796,10,21.37653617
"247",1990-06-04,1.472476022,10,21.57265614
"248",1990-06-05,1.472476022,10,21.77238895
"249",1990-06-06,1.472476022,10,21.9703416
"250",1990-06-07,1.359208636,10,22.17251121
"251",1990-06-08,1.472476022,10,22.36054036
"252",1990-06-09,1.359208636,10,22.55668421
"253",1990-06-10,1.359208636,10,22.75373834
"254",1990-06-11,1.359208636,10,22.9460245
"255",1990-06-12,1.359208636,10,23.11134509
"256",1990-06-13,1.359208636,10,23.21858395
"257",1990-06-14,1.359208636,10,23.38982535
"258",1990-06-15,1.24594125,10,23.5744846
"259",1990-06-16,1.24594125,10,23.65712868
"260",1990-06-17,1.812278182,10,23.73167066
"261",1990-06-18,1.359208636,10,23.92312536
"262",1990-06-19,1.24594125,10,24.08610589
"263",1990-06-20,1.132673864,10,24.20371236
"264",1990-06-21,1.132673864,10,24.22396885
"265",1990-06-22,4.304160682,10,24.16042591
"266",1990-06-23,4.643962842,10,24.30225729
"267",1990-06-24,2.378615114,10,24.44890241
"268",1990-06-25,1.925545568,10,24.56120305
"269",1990-06-26,1.925545568,10,24.60380715
"270",1990-06-27,1.925545568,10,24.68542321
"271",1990-06-28,2.038812954,10,24.65848744
"272",1990-06-29,19.93506,10,24.57737944
"273",1990-06-30,5.776636704,10,24.70541275
"274",1990-07-01,3.964358522,10,24.7822815
"275",1990-07-02,2.83168466,10,24.85202233
"276",1990-07-03,2.265347728,10,24.93187522
"277",1990-07-04,2.038812954,10,25.0166207
"278",1990-07-05,1.812278182,10,25.09990123
"279",1990-07-06,1.699010796,10,25.17550368
"280",1990-07-07,1.699010796,10,25.23552025
"281",1990-07-08,1.699010796,10,25.31926248
"282",1990-07-09,1.699010796,10,25.40367133
"283",1990-07-10,1.58574341,10,25.48251853
"284",1990-07-11,1.58574341,10,25.556968
"285",1990-07-12,1.472476022,10,25.62931
"286",1990-07-13,1.472476022,10,25.70109049
"287",1990-07-14,1.472476022,10,25.71686268
"288",1990-07-15,1.58574341,10,25.75246409
"289",1990-07-16,1.472476022,10,25.81011514
"290",1990-07-17,1.472476022,10,25.86386819
"291",1990-07-18,1.58574341,10,25.89126936
"292",1990-07-19,1.812278182,10,25.89863494
"293",1990-07-20,1.699010796,10,25.92252215
"294",1990-07-21,1.472476022,10,25.96494707
"295",1990-07-22,1.359208636,10,26.00345637
"296",1990-07-23,1.24594125,10,26.03310664
"297",1990-07-24,1.24594125,10,26.05923537
"298",1990-07-25,1.24594125,10,26.08495193
"299",1990-07-26,1.098693648,10,26.1096458
"300",1990-07-27,1.08736691,10,26.09915851
"301",1990-07-28,1.132673864,10,26.04329487
"302",1990-07-29,1.24594125,10,25.973184
