Date,Temp
1979-08-05,25.309408532816008
1979-08-06,25.239245765345004
1979-08-07,25.10955724952305
1979-08-08,24.987565859922995
1979-08-09,24.66883107077905
1979-08-10,24.465893402169
1979-08-11,24.366812773242998
1979-08-12,24.242377969010022
1979-08-13,24.12204261299604
1979-08-14,24.01483144012201
1979-08-15,23.91282127430003
1979-08-16,23.81057382490502
1979-08-17,23.693549970854008
1979-08-18,23.557102435649995
1979-08-19,23.440274136021003
1979-08-20,23.279576030313024
1979-08-21,23.176069095005005
1979-08-22,23.05426990024904
1979-08-23,22.940943307548025
1979-08-24,22.83127311205601
1979-08-25,22.721308557008
1979-08-26,22.602710555626004
1979-08-27,22.463823100095
1979-08-28,22.341798224863
1979-08-29,22.20430375310201
1979-08-30,22.087418931319007
1979-08-31,21.965931990422007
1979-09-01,21.840598243098043
1979-09-02,21.713548884160048
1979-09-03,21.586399618845007
1979-09-04,21.45672831276704
1979-09-05,21.32532870246405
1979-09-06,21.19218808363803
1979-09-07,21.05538177619303
1979-09-08,20.913000944448015
1979-09-09,20.769733985556
1979-09-10,20.626448746547
1979-09-11,20.476303959825998
1979-09-12,20.316076184091003
1979-09-13,20.15371107289502
1979-09-14,20.00094765673805
1979-09-15,19.842856217217047
1979-09-16,19.684297011088006
1979-09-17,19.524156837256044
1979-09-18,19.36162505155204
1979-09-19,19.194266398435047
1979-09-20,19.023991493300002
1979-09-21,18.854063276793
1979-09-22,18.680605859995012
1979-09-23,18.504822250111033
1979-09-24,18.325704299476
1979-09-25,18.14566350539303
1979-09-26,17.968663952034035
1979-09-27,17.791083543099035
1979-09-28,17.609179995767022
1979-09-29,17.42647391860004
1979-09-30,17.201976404806032
1979-10-01,16.873028526027042
1979-10-02,16.62594739441903
1979-10-03,16.44351407618103
1979-10-04,16.264169128534036
1979-10-05,16.06358813294105
1979-10-06,15.841362456240006
1979-10-07,15.631145918250013
1979-10-08,15.427509849307
1979-10-09,15.215205332392031
1979-10-10,14.993894042471027
1979-10-11,14.751346834911033
1979-10-12,14.53633896080504
1979-10-13,14.323056822018032
1979-10-14,14.110687387921018
1979-10-15,13.900147175049028
1979-10-16,13.689974996978037
1979-10-17,13.467420633965048
1979-10-18,13.243455758446999
1979-10-19,12.795475315668
1979-10-20,12.569816139619036
1979-10-21,12.305780960424045
1979-10-22,11.726264146597998
1979-10-23,11.419909322343017
1979-10-24,11.215282767164013
1979-10-25,10.979018904821999
1979-10-26,10.743788935626014
1979-10-27,10.51747741979301
1979-10-28,10.294309087744011
1979-10-29,10.069826144876004
1979-10-30,9.822757571250008
1979-10-31,9.554459127939026
1979-11-01,9.320307830198033
1979-11-02,9.100542355025027
1979-11-03,8.884852372614034
1979-11-04,8.67099170693001
1979-11-05,8.426280155501047
1979-11-06,8.173197079469048
1979-11-07,7.97355012799602
1979-11-08,7.773512525440026
1979-11-09,7.567025085381033
1979-11-10,7.359393657492035
1979-11-11,7.159137522752019
1979-11-12,6.955210852367031
1979-11-13,6.754515941955049
1979-11-14,6.560404172712026
1979-11-15,6.3689845678050006
1979-11-16,6.159322544528038
1979-11-17,5.970378971228001
1979-11-18,5.795072812515002
1979-11-19,5.617100611536046
1979-11-20,5.413924181488028
1979-11-21,5.0087848644260475
1979-11-22,4.8004505264910335
1979-11-23,4.635092747002034
1979-11-24,4.453628487559001
1979-11-25,4.255379981093029
1979-11-26,3.985730879692028
1979-11-27,3.8105043851180085
1979-11-28,3.6354245404460244
1979-11-29,3.4569836569669974
1979-11-30,3.2842999650620186
1979-12-01,3.119070578308026
1979-12-02,2.959290081828044
1979-12-03,2.8031695442570026
1979-12-04,2.6483222490909952
1979-12-05,2.5011476101110475
1979-12-06,2.359828675081019
1979-12-07,2.2181511106140306
1979-12-08,2.084030032335022
1979-12-09,1.9553876564410189
1979-12-10,1.8251505507210481
1979-12-11,1.6986161007310443
1979-12-12,1.580898234822996
1979-12-13,1.4657674412280244
1979-12-14,1.353532112428013
1979-12-15,1.2448062958230253
1979-12-16,1.1388792685200428
1979-12-17,1.0358721645630453
1979-12-18,0.9359507246369958
1979-12-19,0.8387465419590399
1979-12-20,0.7456080463560397
1979-12-21,0.6447173421640287
1979-12-22,0.47263188254100896
1979-12-23,0.24637056008202762
1979-12-24,0.0768486670490347
1979-12-25,-0.0354012653559721
1979-12-26,-0.13792460389595362
1979-12-27,-0.23728837659797364
1979-12-28,-0.3249168520739545
1979-12-29,-0.4041357408409567
1979-12-30,-0.4789944547279674
1979-12-31,-0.5496544094259548
1980-01-01,-0.6148826412230051
1980-01-02,-0.6742597167649933
1980-01-03,-0.7274971410950002
1980-01-04,-0.774468142890953
1980-01-05,-0.8147640470869533
1980-01-06,-0.8521185855099702
1980-01-07,-0.8860805543089896
1980-01-08,-0.913077313228996
1980-01-09,-0.9348199885379813
1980-01-10,-0.9682321283289639
1980-01-11,-1.0071040216139977
1980-01-12,-1.0131125241799737
1980-01-13,-1.020703276093002
1980-01-14,-1.0249689641629516
1980-01-15,-1.0619447633839627
1980-01-16,-1.178188094376992
1980-01-17,-1.1839273970479667
1980-01-18,-1.1787641732929615
1980-01-19,-1.1797363214369625
1980-01-20,-1.1774950899689998
1980-01-21,-1.1676153659049646
1980-01-22,-1.1530390400249644
1980-01-23,-1.1326437510549567
1980-01-24,-1.1114320245189901
1980-01-25,-1.085508592657959
1980-01-26,-1.0529834871949788
1980-01-27,-1.0158527948639744
1980-01-28,-0.9737262966049798
1980-01-29,-0.9266071698069709
1980-01-30,-0.8747604372009619
1980-01-31,-0.8189831175059794
1980-02-01,-0.7584312370109956
1980-02-02,-0.6936865603369711
1980-02-03,-0.6249556622310024
1980-02-04,-0.5503456739619992
1980-02-05,-0.4729723707569633
1980-02-06,-0.39717326932799324
1980-02-07,-0.31424260823899886
1980-02-08,-0.2273899440109517
1980-02-09,-0.13748133352396508
1980-02-10,-0.043785155452951585
1980-02-11,0.052452874435005015
1980-02-12,0.1518705634450157
1980-02-13,0.2549090801950342
1980-02-14,0.36098329886999636
1980-02-15,0.46965048705703794
1980-02-16,0.5811847843680198
1980-02-17,0.6960877938799968
1980-02-18,0.8138079884590184
1980-02-19,0.9113947874459996
1980-02-20,0.9712564766950322
1980-02-21,1.0732322322910477
1980-02-22,1.198075129554013
1980-02-23,1.327346502564012
1980-02-24,1.458755204509032
1980-02-25,1.5925237360000324
1980-02-26,1.7292025505940387
1980-02-27,1.8723299113050302
1980-02-28,2.0143096032410313
1980-02-29,2.1601802569610413
1980-03-01,2.3090542063829957
1980-03-02,2.461725451466009
1980-03-03,2.6196684533030066
1980-03-04,2.782342247420047
1980-03-05,2.9383089854680406
1980-03-06,3.103060008421039
1980-03-07,3.271840686925998
1980-03-08,3.4441606245979983
1980-03-09,3.6195849618870284
1980-03-10,3.796150933149022
1980-03-11,3.9773726065160417
1980-03-12,4.162724954709006
1980-03-13,4.347478734970025
1980-03-14,4.532922970067034
1980-03-15,4.631798992719041
1980-03-16,4.773129304044005
1980-03-17,4.977165495199017
1980-03-18,5.173971702093013
1980-03-19,5.369918198892037
1980-03-20,5.566610279193014
1980-03-21,5.767569306626001
1980-03-22,5.969262743437014
1980-03-23,6.149438126876021
1980-03-24,6.351792551289009
1980-03-25,6.561109855086045
1980-03-26,6.771139283055049
1980-03-27,6.982929847424032
1980-03-28,7.197184410221041
1980-03-29,7.415236194944043
1980-03-30,7.634939770480003
1980-03-31,7.8576461287320285
1980-04-01,8.083508192737042
1980-04-02,8.302047145255017
1980-04-03,8.417531041977043
1980-04-04,8.635348334930995
1980-04-05,8.869945382642015
1980-04-06,9.084485429533004
1980-04-07,9.27324813984103
1980-04-08,9.363325792776038
1980-04-09,9.572541264651022
1980-04-10,9.79396695223403
1980-04-11,10.006916449687026
1980-04-12,10.220012706645036
1980-04-13,10.443183234094022
1980-04-14,10.651749828758
1980-04-15,10.87157500345404
1980-04-16,11.102601320630015
1980-04-17,11.337336302148003
1980-04-18,11.576186834796033
1980-04-19,11.820372614841006
1980-04-20,12.066908850861012
1980-04-21,12.316900874897044
1980-04-22,12.569962355881046
1980-04-23,12.82558414948005
1980-04-24,13.078110542103047
1980-04-25,13.329147334577044
1980-04-26,13.583438549796028
1980-04-27,13.837463926187013
1980-04-28,14.087640413346037
1980-04-29,14.309321395414997
1980-04-30,14.55636765809902
1980-05-01,14.809500185735033
1980-05-02,15.064188060990034
1980-05-03,15.317914008697016
1980-05-04,15.573630737529015
1980-05-05,15.82940769108501
1980-05-06,16.083692570782034
1980-05-07,16.33410526720604
1980-05-08,16.575886308586007
1980-05-09,16.818639767993034
1980-05-10,17.058049985468017
1980-05-11,17.297959129670005
1980-05-12,17.50236010634103
1980-05-13,17.62857900077404
1980-05-14,17.859993158395014
1980-05-15,18.07446044328401
1980-05-16,18.276199902366045
1980-05-17,18.436007520025044
1980-05-18,18.634699501192017
1980-05-19,18.835796399411038
1980-05-20,19.053442580764
1980-05-21,19.272087430440024
1980-05-22,19.490060131454015
1980-05-23,19.706862844865043
1980-05-24,19.918231647606035
1980-05-25,20.12449279084001
1980-05-26,20.336184795557017
1980-05-27,20.53575891272601
1980-05-28,20.689534812002023
1980-05-29,20.81807101791304
1980-05-30,20.983676210979013
1980-05-31,21.201550227924997
1980-06-01,21.397103147914038
1980-06-02,21.555787265791025
1980-06-03,21.67981399505004
1980-06-04,21.843773787260034
1980-06-05,21.862171415624005
1980-06-06,21.91775083607604
1980-06-07,21.954726505161034
1980-06-08,22.10718690577403
1980-06-09,22.25213125841401
1980-06-10,22.393212063667022
1980-06-11,22.538807185568032
1980-06-12,22.685383357613034
1980-06-13,22.831113371461015
